書く,読む
産業革命,さんぎょうかくめい
石炭,せきたん
石油,せきゆ
化石,かせき
燃料,ねんりょう
燃やす,もやす
文明,ぶんめい
天然,てんねん
底を突く,そこをつく
予測する,よそくする
エネルギー源,エネルギーゲン
今日,こんにち
切っても切れない,きってもきれない
数字,すうじ
上回る,うわまわる
中でも,なかでも
電力,でんりょく
七割,ななわり
依存,いぞん
初,はつ
成功する,せいこう
拍車をかける,はくしゃをかける
割合に,わりあいに
発電量,はつでんりょう
三分の一,さんぶんのいち
占める,しめる
計画中,けいかくちゅう
完成する,かんせいする
賄う,まかなう
見直し,みなおし
迫る,せまる
契機,けいき
作業,さぎょう
職員,しょんくいん
含める,ふくめる
死亡,しぼう
史上,しじょう
最悪,さいあく
爆発,ばくはつ
漏れる,もれる
周辺,しゅうへん
諸国,しょこく
土壌,どじょう
農産物,のうさんぶつ
被害,ひがい
範囲,はんい
及ぼす,およぼす
白血病,はっけつびょう
原爆,げんばく
原爆症,げんばくしょう
地域,ちいき
苦しめる,くるしめる
是非,ぜひ
増す,ます
厳重,げんじゅう
超える,こえる
計り知れない,はかりしれない
恐れる,おそれる
段階,だんかい
破棄する,はきする
切り替える,きりかえる
打ち出す,うちだす
大気,たいき
欠かす,かかす
主導,しゅどう
廃棄する,はいきする
廃棄物,はいきぶつ
麦わら,むぎわら
活用,かつよう
農産資源,のうさんしげん
増やす,ふやす
太陽光,たいようこう
処理,しょり
満たす,みたす
事業,じぎょう
新エネルギー,しんえねるぎー
相当,そうとう
削減,さくげん
繁栄,はんえいする
維持,いじする
悪化,あっかする
控える,ひかえる
